Item,Cat,Type,Tags
{{ModId}}_CurryPowder,-7,Cooking,"raffadax_object, raffadax_artisan_object, raffadax_cooked_object, category_spicemix"
{{ModId}}_CurseExtract,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicherbextract"
{{ModId}}_DaccaBananaBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_brandy"
{{ModId}}_DaccaBananaCompote,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_compote"
{{ModId}}_DaccaBananaJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_jam"
{{ModId}}_DaccaBananaJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_jelly"
{{ModId}}_DaccaBananaJuice,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitjuice"
{{ModId}}_DaccaBananaLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitliqueur"
{{ModId}}_DaccaBananaPortWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedwine"
{{ModId}}_DaccaBananaPuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitpuree"
{{ModId}}_DaccaBananaWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_wine"
{{ModId}}_DaffodilBalsam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_meadbalsam"
{{ModId}}_DaffodilBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralbrandy"
{{ModId}}_DaffodilHoney,-26,ArtisanGoods,"poison_honey_item, raffadax_object, raffadax_artisan_object, category_flowhoney"
{{ModId}}_DaffodilHoneyJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_honeyjelly"
{{ModId}}_DaffodilJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerjam"
{{ModId}}_DaffodilJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerjelly"
{{ModId}}_DaffodilKombucha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralkombucha"
{{ModId}}_DaffodilLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralliqueur"
{{ModId}}_DaffodilMead,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mead"
{{ModId}}_DaffodilNectar,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_nectar"
{{ModId}}_DaffodilPetals,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpetals"
{{ModId}}_DaffodilPortMead,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedmead"
{{ModId}}_DaffodilPortWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedfloralwine"
{{ModId}}_DaffodilPreserves,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpreserves"
{{ModId}}_DaffodilPuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpuree"
{{ModId}}_DaffodilTea,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floraltea"
{{ModId}}_DaffodilWater,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerwater"
{{ModId}}_DaffodilWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralwine"
{{ModId}}_DaisyBalsam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_meadbalsam"
{{ModId}}_DaisyBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralbrandy"
{{ModId}}_DaisyDust,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_DaisyHoney,-26,Artisan Goods,"honey_item, raffadax_object, raffadax_artisan_object, category_flowhoney"
{{ModId}}_DaisyHoneyJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_honeyjelly"
{{ModId}}_DaisyJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerjam"
{{ModId}}_DaisyJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerjelly"
{{ModId}}_DaisyKombucha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralkombucha"
{{ModId}}_DaisyLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralliqueur"
{{ModId}}_DaisyMae,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_perfume"
{{ModId}}_DaisyMead,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mead"
{{ModId}}_DaisyNectar,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_nectar"
{{ModId}}_DaisyPetals,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpetals"
{{ModId}}_DaisyPortMead,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedmead"
{{ModId}}_DaisyPortWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedfloralwine"
{{ModId}}_DaisyPreserves,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpreserves"
{{ModId}}_DaisyPuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpuree"
{{ModId}}_DaisyTea,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floraltea"
{{ModId}}_DaisyWater,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerwater"
{{ModId}}_DaisyWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralwine"
{{ModId}}_DancingDaffodil,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_perfume"
{{ModId}}_DancingMoonbeamWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_arcanesparklingwine"
{{ModId}}_DancingSpider,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_arcanefortifiedwine"
{{ModId}}_DancingSunbeamWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_arcanesparklingwine"
{{ModId}}_DandelionBalsam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_meadbalsam"
{{ModId}}_DandelionBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralbrandy"
{{ModId}}_DandelionCoffee,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_herbaltea"
{{ModId}}_DandelionDreams,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_perfume"
{{ModId}}_DandelionExtract,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_herbalextract"
{{ModId}}_DandelionGreensJuice,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_vegetablejuice"
{{ModId}}_DandelionHoney,-26,Artisan Goods,"honey_item, raffadax_object, raffadax_artisan_object, category_flowhoney"
{{ModId}}_DandelionHoneyJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_honeyjelly"
{{ModId}}_DandelionJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerjam"
{{ModId}}_DandelionJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerjelly"
{{ModId}}_DandelionKombucha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralkombucha"
{{ModId}}_DandelionLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralliqueur"
{{ModId}}_DandelionMead,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mead"
{{ModId}}_DandelionNectar,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_nectar"
{{ModId}}_DandelionPetals,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpetals"
{{ModId}}_DandelionPortMead,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedmead"
{{ModId}}_DandelionPortWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedfloralwine"
{{ModId}}_DandelionPreserves,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpreserves"
{{ModId}}_DandelionPuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpuree"
{{ModId}}_DandelionRootExtract,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_herbalextract"
{{ModId}}_DandelionRootJuice,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_vegetablejuice"
{{ModId}}_DandelionRootKombucha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_herbalkombucha"
{{ModId}}_DandelionTea,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floraltea"
{{ModId}}_DandelionWater,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerwater"
{{ModId}}_DandelionWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralwine"
{{ModId}}_DarkChocolateJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_dessertjelly"
{{ModId}}_DarkChocolateKombucha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_cocoakombucha"
{{ModId}}_DarkChocolateLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_dessertliqueur"
{{ModId}}_DarkChocolateMilk,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flavoredmilk"
{{ModId}}_DarkChocolateMocha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_coffee"
{{ModId}}_DarkChocolateMochaBeans,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_coffeebeans"
{{ModId}}_DarkChocolatePudding,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_pudding"
{{ModId}}_DarkChocolateSyrup,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_dessertsyrup"
{{ModId}}_DarkCocoa,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_cocoa"
{{ModId}}_DarkCocoaBeans,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_cocoa"
{{ModId}}_DarkCocoaButter,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_cocoabutter"
{{ModId}}_DarkCocoaExtract,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flavorextract"
{{ModId}}_DarkCocoaPowder,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_bakingcomponent"
{{ModId}}_DarkRoastCoffee,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_coffee"
{{ModId}}_DarkRoastCoffeeBeans,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object"
{{ModId}}_DarkRum,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_liquor"
{{ModId}}_DateBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_brandy"
{{ModId}}_DateChutney,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_chutney"
{{ModId}}_DateJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_jam"
{{ModId}}_DateJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_jelly"
{{ModId}}_DateJuice,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitjuice"
{{ModId}}_DateLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitliqueur"
{{ModId}}_DatePortWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedwine"
{{ModId}}_DatePuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitpuree"
{{ModId}}_DateWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_wine"
{{ModId}}_DaydreamBeliever,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_perfume"
{{ModId}}_DeadMansBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_brandy"
{{ModId}}_DeadMansChutney,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_chutney"
{{ModId}}_DeadMansGin,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitliqueur"
{{ModId}}_DeadMansJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_jam"
{{ModId}}_DeadMansJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_jelly"
{{ModId}}_DeadMansJuice,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitjuice"
{{ModId}}_DeadMansPort,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedwine"
{{ModId}}_DeadMansPuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitpuree"
{{ModId}}_DeadMansWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_wine"
{{ModId}}_DeepJungleKombucha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_shamanisticpotion"
{{ModId}}_DeerAntler,-28,Monster Loot,"raffadax_object, raffadax_artisan_object, forage_item, category_natureforage"
{{ModId}}_DierdresRose,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicperfume"
{{ModId}}_DemeraraSyrup,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_cocktailsyrup"
{{ModId}}_DesertMoon,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_perfume"
{{ModId}}_DesiccatedErgot,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedmushroom"
{{ModId}}_Diacatholicon,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_elixiroflife"
{{ModId}}_Digestif,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_spiceliqueur"
{{ModId}}_DijonMustard,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_condiment"
{{ModId}}_DillExtract,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_herbalextract"
{{ModId}}_DillJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_herbjelly"
{{ModId}}_DillKombucha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_herbalkombucha"
{{ModId}}_DillLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_herballiqueur"
{{ModId}}_DillPickles,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_pickles"
{{ModId}}_DillSeed,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_wholespice"
{{ModId}}_DillSeedKombucha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_spicekombucha"
{{ModId}}_DillSeedTea,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_spicetea"
{{ModId}}_DillTea,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_herbaltea"
{{ModId}}_DillWeed,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_wholeherb"
{{ModId}}_DireCrystalizedMythicHoney,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicbakingcomponent"
{{ModId}}_DogwoodBalsam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_meadbalsam"
{{ModId}}_DogwoodBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralbrandy"
{{ModId}}_DogwoodHoney,-26,Artisan Goods,"poison_honey_item, raffadax_object, raffadax_artisan_object, category_flowhoney"
{{ModId}}_DogwoodHoneyJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_honeyjelly"
{{ModId}}_DogwoodJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerjam"
{{ModId}}_DogwoodJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerjelly"
{{ModId}}_DogwoodKombucha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralkombucha"
{{ModId}}_DogwoodLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralliqueur"
{{ModId}}_DogwoodMead,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mead"
{{ModId}}_DogwoodNectar,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_nectar"
{{ModId}}_DogwoodPetals,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpetals"
{{ModId}}_DogwoodPortMead,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedmead"
{{ModId}}_DogwoodPortWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedfloralwine"
{{ModId}}_DogwoodPreserves,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpreserves"
{{ModId}}_DogwoodPuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpuree"
{{ModId}}_DogwoodTea,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floraltea"
{{ModId}}_DogwoodWater,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerwater"
{{ModId}}_DogwoodWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralwine"
{{ModId}}_Domiati,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_cheese"
{{ModId}}_DormarchWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_divinelibation"
{{ModId}}_DoveFeather,-18,Basic,"raffadax_object, raffadax_artisan_object, forage_item, category_feather"
{{ModId}}_Dr.Pimento,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_sodapop"
{{ModId}}_DragonBerryBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicbrandy"
{{ModId}}_DragonBerryCompote,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicjam"
{{ModId}}_DragonBerryJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicjam"
{{ModId}}_DragonBerryJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicjelly"
{{ModId}}_DragonBerryJuice,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicfruitjuice"
{{ModId}}_DragonBerryNectar,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicnectar"
{{ModId}}_DragonBerryPuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicpuree"
{{ModId}}_DragonBerryWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicwine"
{{ModId}}_DragonFireWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicfortifiedwine"
{{ModId}}_DragonFruitBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_brandy"
{{ModId}}_DragonFruitCompote,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_compote"
{{ModId}}_DragonFruitJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_jam"
{{ModId}}_DragonFruitJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_jelly"
{{ModId}}_DragonFruitJuice,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitjuice"
{{ModId}}_DragonFruitLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitliqueur"
{{ModId}}_DragonFruitPortWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedwine"
{{ModId}}_DragonFruitPuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitpuree"
{{ModId}}_DragonFruitWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_wine"
{{ModId}}_DragonHoney,-26,Artisan Goods,"mythic_honey_item, raffadax_object, raffadax_artisan_object, category_mythichoney"
{{ModId}}_DragonHoneyJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythichoneyjelly"
{{ModId}}_DragonsBreath,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_phialedatmosphere"
{{ModId}}_DraugarMead,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicfortifiedmead"
{{ModId}}_DriedAdzukiBeans,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedbeans"
{{ModId}}_DriedAllium,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedAmanita,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedmushroom"
{{ModId}}_DriedAnemushroom,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedmushroom"
{{ModId}}_DriedAntlerReishi,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedmushroom"
{{ModId}}_DriedArtemisia,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedBasil,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedherb"
{{ModId}}_DriedBayLeaf,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedherb"
{{ModId}}_DriedBerserkerMushroom,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedmushroom"
{{ModId}}_DriedBifrostFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedmythicflower"
{{ModId}}_DriedBlackBeans,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedbeans"
{{ModId}}_DriedBlackTruffle,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedmushroom"
{{ModId}}_DriedBlueJazzFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedBlueLotusFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedBlueOysterMushroom,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedmushroom"
{{ModId}}_DriedBrassicaFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedButtonMushroom,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedmushroom"
{{ModId}}_DriedCactusBlossom,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedCactushroom,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedmushroom"
{{ModId}}_DriedCarawayFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedChamomile,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedChanterelle,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedmushroom"
{{ModId}}_DriedChervil,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedherb"
{{ModId}}_DriedChicoryFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedChives,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedherb"
{{ModId}}_DriedCilantro,-81,Greens,"raffadax_object, raffadax_artisan_object, category_driedherb"
{{ModId}}_DriedCintamaniFlower,-80,Flower,"raffadax_object, raffadax_artisan_object, category_driedmythicflower"
{{ModId}}_DriedClematis,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedClover,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedCorianderFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedCreminiMushroom,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedmushroom"
{{ModId}}_DriedCrocusFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedCurryLeaf,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedherb"
{{ModId}}_DriedDaffodil,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedDaisy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedDandelionFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedDill,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedherb"
{{ModId}}_DriedDogwood,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedDryadSaddle,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedmushroom"
{{ModId}}_DriedElderflower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedFairyRose,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedFennelFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedFenugreek,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedherb"
{{ModId}}_DriedFernFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedmythicflower"
{{ModId}}_DriedFireWheel,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedFlindersRose,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedForestRose,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedmythicflower"
{{ModId}}_DriedForsythia,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedFoxglove,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedFrostCap,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedmushroom"
{{ModId}}_DriedGarbanzoBeans,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedbeans"
{{ModId}}_DriedGemCap,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedmushroom"
{{ModId}}_DriedGentianFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedGinkgoLeaf,-81,Greens,"raffadax_object, raffadax_artisan_object, category_driedherb"
{{ModId}}_DriedGrapeLeaf,-81,Greens,"raffadax_object, raffadax_artisan_object, category_driedleaf"
{{ModId}}_DriedGultheria,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedHawkweed,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedHeliconia,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedHibiscus,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedHoneysuckle,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedIndigo,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedJacaranda,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedJasmine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
{{ModId}}_DriedJungleMoss,-81,Greens,"raffadax_object, raffadax_artisan_object, category_driedmythicherb"
{{ModId}}_DriedJuniper,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedspice"
{{ModId}}_DriedLavender,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_driedflower"
