Output,Machine,Time,Makes,Chance,Input,Fuels
Chamomile Jelly,Deluxe Preserves Jar,4000,1,1,1 Chamomile,
Chicory Flower Jelly,Deluxe Preserves Jar,4000,1,1,1 Chicory Flower,
Clover Jelly,Deluxe Preserves Jar,4000,1,1,1 Clover,
Coriander Flower Jelly,Deluxe Preserves Jar,4000,1,1,1 Coriander Flower,
Daisy Jelly,Deluxe Preserves Jar,4000,1,1,1 Daisy ,
Daisy Jelly,Deluxe Preserves Jar,4000,1,1,1 Wild Daisy,
Elderflower Jelly,Deluxe Preserves Jar,4000,1,1,1 Elderflower,
Fennel Flower Jelly,Deluxe Preserves Jar,4000,1,1,1 Fennel Flower,
Fire Wheel Jelly,Deluxe Preserves Jar,4000,1,1,1 Fire Wheel,
Flinders Rose Jelly,Deluxe Preserves Jar,4000,1,1,1 Flinders Rose,
Forsythia Jelly,Deluxe Preserves Jar,4000,1,1,1 Forsythia,
Gentian Flower Jelly,Deluxe Preserves Jar,4000,1,1,1 Gentian Flower,
Gultheria Jelly,Deluxe Preserves Jar,4000,1,1,1 Gultheria,
Hawkweed Jelly,Deluxe Preserves Jar,4000,1,1,1 Hawkweed,
Hibiscus Jelly,Deluxe Preserves Jar,4000,1,1,1 Hibiscus,
Honeysuckle Flower Jelly,Deluxe Preserves Jar,4000,1,1,1 Honeysuckle,
Lavender Jelly,Deluxe Preserves Jar,4000,1,1,1 Lavender,
Lilac Jelly,Deluxe Preserves Jar,4000,1,1,1 Lilac,
Linden Jelly,Deluxe Preserves Jar,4000,1,1,1 Linden,
Mimosa Flower Jelly,Deluxe Preserves Jar,4000,1,1,1 Mimosa Flower,
Mint Flower Jelly,Deluxe Preserves Jar,4000,1,1,1 Mint Flower,
Nettle Blossom Jelly,Deluxe Preserves Jar,4000,1,1,1 Nettle Blossom,
Nigella Jelly,Deluxe Preserves Jar,4000,1,1,1 Nigella,
Opuntia Jelly,Deluxe Preserves Jar,4000,1,1,1 Opuntia Flower,
Osmanthus Jelly,Deluxe Preserves Jar,4000,1,1,1 Osmanthus,
Rose Jelly,Deluxe Preserves Jar,4000,1,1,1 Rose,
Sakura Jelly,Deluxe Preserves Jar,4000,1,1,1 Sakura,
Pickled Sakura,Deluxe Preserves Jar,4000,1,1,1 Sakura Petals,
Squash Flower Jelly,Deluxe Preserves Jar,4000,1,1,1 Squash Flower,
Pickled Squash Flowers,Deluxe Preserves Jar,4000,1,0.3,1 Squash Flower,
Jasmine Jelly,Deluxe Preserves Jar,4000,1,1,1 Star Jasmine,
Topinambur Jelly,Deluxe Preserves Jar,4000,1,1,1 Topinambur,
Vanilla Orchid Jelly,Deluxe Preserves Jar,4000,1,1,1 Vanilla Orchid,
Violet Jelly,Deluxe Preserves Jar,4000,1,1,1 Violet ,
Violet Jelly,Deluxe Preserves Jar,4000,1,1,1 Wild Violet,
Waldmeister Jelly,Deluxe Preserves Jar,4000,1,1,1 Waldmeister,
Witch Hazel Jelly,Deluxe Preserves Jar,4000,1,1,1 Witch Hazel,
Yarrow Jelly,Deluxe Preserves Jar,4000,1,1,1 Yarrow,
Artemisia Jelly,Deluxe Preserves Jar,4000,1,1,1 Artemisia,
Clematis Jelly,Deluxe Preserves Jar,4000,1,1,1 Clematis,
Dogwood Jelly,Deluxe Preserves Jar,4000,1,1,1 Dogwood,
Foxglove Jelly,Deluxe Preserves Jar,4000,1,1,1 Foxglove,
Heliconia Jelly,Deluxe Preserves Jar,4000,1,1,1 Heliconia,
Indigo Jelly,Deluxe Preserves Jar,4000,1,1,1 Indigo,
Jacaranda Jelly,Deluxe Preserves Jar,4000,1,1,1 Jacaranda,
Passion Flower Jelly,Deluxe Preserves Jar,4000,1,1,1 Passion Flower,
Periwinkle Jelly,Deluxe Preserves Jar,4000,1,1,1 Periwinkle Flower,
Poinsettia Jelly,Deluxe Preserves Jar,4000,1,1,1 Poinsettia,
Royal Poinciana Jelly,Deluxe Preserves Jar,4000,1,1,1 Royal Poinciana,
Wisteria Jelly,Deluxe Preserves Jar,4000,1,1,1 Wisteria,
Wolfsbane Jelly,Deluxe Preserves Jar,4000,1,1,1 Wolfsbane,
Blue Jazz Jelly,Deluxe Preserves Jar,4000,1,1,1 Blue Jazz,
Crocus Jelly,Deluxe Preserves Jar,4000,1,1,1 Crocus,
Daffodil Jelly,Deluxe Preserves Jar,4000,1,1,1 Daffodil,
Dandelion Jelly,Deluxe Preserves Jar,4000,1,1,1 Dandelion,
Fairy Rose Jelly,Deluxe Preserves Jar,4000,1,1,1 Fairy Rose,
Poppy Flower Jelly,Deluxe Preserves Jar,4000,1,1,1 Poppy,
Summer Spangle Jelly,Deluxe Preserves Jar,4000,1,1,1 Summer Spangle,
Sunflower Jelly,Deluxe Preserves Jar,4000,1,1,1 Sunflower,
Sweet Pea Jelly,Deluxe Preserves Jar,4000,1,1,1 Sweet Pea,
Tulip Jelly,Deluxe Preserves Jar,4000,1,1,1 Tulip,
Allium Jam,Deluxe Preserves Jar,4000,1,1,1 Allium Jelly,1 Allium
Blue Lotus Jam,Deluxe Preserves Jar,4000,1,1,1 Blue Lotus Jelly,1 Blue Lotus Flower
Brassica Flower Jam,Deluxe Preserves Jar,4000,1,1,1 Brassica Flower Jelly,1 Brassica Flower
Cactus Blossom Jam,Deluxe Preserves Jar,4000,1,1,1 Cactus Blossom Jelly,1 Cactus Blossom
Caraway Flower Jam,Deluxe Preserves Jar,4000,1,1,1 Caraway Flower Jelly,1 Caraway Flower
Chamomile Jam,Deluxe Preserves Jar,4000,1,1,1 Chamomile Jelly,1 Chamomile
Chicory Flower Jam,Deluxe Preserves Jar,4000,1,1,1 Chicory Flower Jelly,1 Chicory Flower
Clover Jam,Deluxe Preserves Jar,4000,1,1,1 Clover Jelly,1 Clover
Coriander Flower Jam,Deluxe Preserves Jar,4000,1,1,1 Coriander Flower Jelly,1 Coriander Flower
Daisy Jam,Deluxe Preserves Jar,4000,1,1,1 Daisy Jelly,1 Daisy 
Elderflower Jam,Deluxe Preserves Jar,4000,1,1,1 Elderflower Jelly,1 Elderflower
Fennel Flower Jam,Deluxe Preserves Jar,4000,1,1,1 Fennel Flower Jelly,1 Fennel Flower
Fire Wheel Jam,Deluxe Preserves Jar,4000,1,1,1 Fire Wheel Jelly,1 Fire Wheel
Flinders Rose Jam,Deluxe Preserves Jar,4000,1,1,1 Flinders Rose Jelly,1 Flinders Rose
Forsythia Jam,Deluxe Preserves Jar,4000,1,1,1 Forsythia Jelly,1 Forsythia
Gentian Flower Jam,Deluxe Preserves Jar,4000,1,1,1 Gentian Flower Jelly,1 Gentian Flower
Gultheria Jam,Deluxe Preserves Jar,4000,1,1,1 Gultheria Jelly,1 Gultheria
Hawkweed Jam,Deluxe Preserves Jar,4000,1,1,1 Hawkweed Jelly,1 Hawkweed
Hibiscus Jam,Deluxe Preserves Jar,4000,1,1,1 Hibiscus Jelly,1 Hibiscus
Honeysuckle Jam,Deluxe Preserves Jar,4000,1,1,1 Honeysuckle Flower Jelly,1 Honeysuckle
Lavender Jam,Deluxe Preserves Jar,4000,1,1,1 Lavender Jelly,1 Lavender
Lilac Jam,Deluxe Preserves Jar,4000,1,1,1 Lilac Jelly,1 Lilac
Linden Jam,Deluxe Preserves Jar,4000,1,1,1 Linden Jelly,1 Linden
Mimosa Flower Jam,Deluxe Preserves Jar,4000,1,1,1 Mimosa Flower Jelly,1 Mimosa Flower
Mint Flower Jam,Deluxe Preserves Jar,4000,1,1,1 Mint Flower Jelly,1 Mint Flower
Nettle Blossom Jam,Deluxe Preserves Jar,4000,1,1,1 Nettle Blossom Jelly,1 Nettle Blossom
Nigella Jam,Deluxe Preserves Jar,4000,1,1,1 Nigella Jelly,1 Nigella
Opuntia Jam,Deluxe Preserves Jar,4000,1,1,1 Opuntia Jelly,1 Opuntia Flower
Osmanthus Jam,Deluxe Preserves Jar,4000,1,1,1 Osmanthus Jelly,1 Osmanthus
Rose Jam,Deluxe Preserves Jar,4000,1,1,1 Rose Jelly,1 Rose
Sakura Jam,Deluxe Preserves Jar,4000,1,1,1 Sakura Jelly,1 Sakura
Squash Flower Jam,Deluxe Preserves Jar,4000,1,1,1 Squash Flower Jelly,1 Squash Flower
Jasmine Jam,Deluxe Preserves Jar,4000,1,1,1 Jasmine Jelly,1 Star Jasmine
Topinambur Jam,Deluxe Preserves Jar,4000,1,1,1 Topinambur Jelly,1 Topinambur
Vanilla Orchid Jam,Deluxe Preserves Jar,4000,1,1,1 Vanilla Orchid Jelly,1 Vanilla Orchid
Violet Jam,Deluxe Preserves Jar,4000,1,1,1 Violet Jelly,1 Violet 
Waldmeister Jam,Deluxe Preserves Jar,4000,1,1,1 Waldmeister Jelly,1 Waldmeister
Witch Hazel Jam,Deluxe Preserves Jar,4000,1,1,1 Witch Hazel Jelly,1 Witch Hazel
Yarrow Jam,Deluxe Preserves Jar,4000,1,1,1 Yarrow Jelly,1 Yarrow
Artemisia Jam,Deluxe Preserves Jar,4000,1,1,1 Artemisia Jelly,1 Artemisia
Clematis Jam,Deluxe Preserves Jar,4000,1,1,1 Clematis Jelly,1 Clematis
Dogwood Jam,Deluxe Preserves Jar,4000,1,1,1 Dogwood Jelly,1 Dogwood
Foxglove Jam,Deluxe Preserves Jar,4000,1,1,1 Foxglove Jelly,1 Foxglove
Heliconia Jam,Deluxe Preserves Jar,4000,1,1,1 Heliconia Jelly,1 Heliconia
Indigo Jam,Deluxe Preserves Jar,4000,1,1,1 Indigo Jelly,1 Indigo
Jacaranda Jam,Deluxe Preserves Jar,4000,1,1,1 Jacaranda Jelly,1 Jacaranda
Passion Flower Jam,Deluxe Preserves Jar,4000,1,1,1 Passion Flower Jelly,1 Passion Flower
Periwinkle Jam,Deluxe Preserves Jar,4000,1,1,1 Periwinkle Jelly,1 Periwinkle Flower
Poinsettia Jam,Deluxe Preserves Jar,4000,1,1,1 Poinsettia Jelly,1 Poinsettia
Royal Poinciana Jam,Deluxe Preserves Jar,4000,1,1,1 Royal Poinciana Jelly,1 Royal Poinciana
Wisteria Jam,Deluxe Preserves Jar,4000,1,1,1 Wisteria Jelly,1 Wisteria
Wolfsbane Jam,Deluxe Preserves Jar,4000,1,1,1 Wolfsbane Jelly,1 Wolfsbane
Blue Jazz Jam,Deluxe Preserves Jar,4000,1,1,1 Blue Jazz Jelly,1 Blue Jazz
Crocus Jam,Deluxe Preserves Jar,4000,1,1,1 Crocus Jelly,1 Crocus
Daffodil Jam,Deluxe Preserves Jar,4000,1,1,1 Daffodil Jelly,1 Daffodil
Dandelion Jam,Deluxe Preserves Jar,4000,1,1,1 Dandelion Jelly,1 Dandelion
Fairy Rose Jam,Deluxe Preserves Jar,4000,1,1,1 Fairy Rose Jelly,1 Fairy Rose
Poppy Flower Jam,Deluxe Preserves Jar,4000,1,1,1 Poppy Flower Jelly,1 Poppy
Summer Spangle Jam,Deluxe Preserves Jar,4000,1,1,1 Summer Spangle Jelly,1 Summer Spangle
Sunflower Jam,Deluxe Preserves Jar,4000,1,1,1 Sunflower Jelly,1 Sunflower
Sweet Pea Jam,Deluxe Preserves Jar,4000,1,1,1 Sweet Pea Jelly,1 Sweet Pea
Tulip Jam,Deluxe Preserves Jar,4000,1,1,1 Tulip Jelly,1 Tulip
Allium Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Allium Jam,1 Allium
Blue Lotus Preserves,Deluxe Preserves Jar,4000,1,1,1 Blue Lotus Jam,1 Blue Lotus Flower
Brassica Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Brassica Flower Jam,1 Brassica Flower
Cactus Blossom Preserves,Deluxe Preserves Jar,4000,1,1,1 Cactus Blossom Jam,1 Cactus Blossom
Caraway Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Caraway Flower Jam,1 Caraway Flower
Chamomile Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Chamomile Jam,1 Chamomile
Chicory Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Chicory Flower Jam,1 Chicory Flower
Clover Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Clover Jam,1 Clover
Coriander Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Coriander Flower Jam,1 Coriander Flower
Daisy Preserves,Deluxe Preserves Jar,4000,1,1,1 Daisy Jam,1 Daisy 
Elderflower Preserves,Deluxe Preserves Jar,4000,1,1,1 Elderflower Jam,1 Elderflower
Fennel Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Fennel Flower Jam,1 Fennel Flower
Fire Wheel Preserves,Deluxe Preserves Jar,4000,1,1,1 Fire Wheel Jam,1 Fire Wheel
Flinders Rose Preserves,Deluxe Preserves Jar,4000,1,1,1 Flinders Rose Jam,1 Flinders Rose
Forsythia Preserves,Deluxe Preserves Jar,4000,1,1,1 Forsythia Jam,1 Forsythia
Gentian Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Gentian Flower Jam,1 Gentian Flower
Gultheria Preserves,Deluxe Preserves Jar,4000,1,1,1 Gultheria Jam,1 Gultheria
Hawkweed Preserves,Deluxe Preserves Jar,4000,1,1,1 Hawkweed Jam,1 Hawkweed
Hibiscus Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Hibiscus Jam,1 Hibiscus
Honeysuckle Preserves,Deluxe Preserves Jar,4000,1,1,1 Honeysuckle Jam,1 Honeysuckle
Lavender Preserves,Deluxe Preserves Jar,4000,1,1,1 Lavender Jam,1 Lavender
Lilac Preserves,Deluxe Preserves Jar,4000,1,1,1 Lilac Jam,1 Lilac
Linden Preserves,Deluxe Preserves Jar,4000,1,1,1 Linden Jam,1 Linden
Mimosa Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Mimosa Flower Jam,1 Mimosa Flower
Mint Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Mint Flower Jam,1 Mint Flower
Nettle Blossom Preserves,Deluxe Preserves Jar,4000,1,1,1 Nettle Blossom Jam,1 Nettle Blossom
Nigella Preserves,Deluxe Preserves Jar,4000,1,1,1 Nigella Jam,1 Nigella
Opuntia Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Opuntia Jam,1 Opuntia Flower
Osmanthus Preserves,Deluxe Preserves Jar,4000,1,1,1 Osmanthus Jam,1 Osmanthus
Rose Preserves,Deluxe Preserves Jar,4000,1,1,1 Rose Jam,1 Rose
Sakura Preserves,Deluxe Preserves Jar,4000,1,1,1 Sakura Jam,1 Sakura
Squash Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Squash Flower Jam,1 Squash Flower
Jasmine Preserves,Deluxe Preserves Jar,4000,1,1,1 Jasmine Jam,1 Star Jasmine
Topinambur Preserves,Deluxe Preserves Jar,4000,1,1,1 Topinambur Jam,1 Topinambur
Vanilla Orchid Preserves,Deluxe Preserves Jar,4000,1,1,1 Vanilla Orchid Jam,1 Vanilla Orchid
Violet Preserves,Deluxe Preserves Jar,4000,1,1,1 Violet Jam,1 Violet 
Waldmeister Preserves,Deluxe Preserves Jar,4000,1,1,1 Waldmeister Jam,1 Waldmeister
Yarrow Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Yarrow Jam,1 Yarrow
Artemisia Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Artemisia Jam,1 Artemisia
Clematis Preserves,Deluxe Preserves Jar,4000,1,1,1 Clematis Jam,1 Clematis
Dogwood Preserves,Deluxe Preserves Jar,4000,1,1,1 Dogwood Jam,1 Dogwood
Foxglove Preserves,Deluxe Preserves Jar,4000,1,1,1 Foxglove Jam,1 Foxglove
Heliconia Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Heliconia Jam,1 Heliconia
Indigo Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Indigo Jam,1 Indigo
Jacaranda Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Jacaranda Jam,1 Jacaranda
Passion Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Passion Flower Jam,1 Passion Flower
Periwinkle Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Periwinkle Jam,1 Periwinkle Flower
Poinsettia Preserves,Deluxe Preserves Jar,4000,1,1,1 Poinsettia Jam,1 Poinsettia
Poinciana Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Royal Poinciana Jam,1 Royal Poinciana
Wisteria Preserves,Deluxe Preserves Jar,4000,1,1,1 Wisteria Jam,1 Wisteria
Wolfsbane Preserves,Deluxe Preserves Jar,4000,1,1,1 Wolfsbane Jam,1 Wolfsbane
Blue Jazz Preserves,Deluxe Preserves Jar,4000,1,1,1 Blue Jazz Jam,1 Blue Jazz
Crocus Preserves,Deluxe Preserves Jar,4000,1,1,1 Crocus Jam,1 Crocus
Daffodil Preserves,Deluxe Preserves Jar,4000,1,1,1 Daffodil Jam,1 Daffodil
Dandelion Preserves,Deluxe Preserves Jar,4000,1,1,1 Dandelion Jam,1 Dandelion
Fairy Rose Preserves,Deluxe Preserves Jar,4000,1,1,1 Fairy Rose Jam,1 Fairy Rose
Poppy Flower Preserves,Deluxe Preserves Jar,4000,1,1,1 Poppy Flower Jam,1 Poppy
Summer Spangle Preserves,Deluxe Preserves Jar,4000,1,1,1 Summer Spangle Jam,1 Summer Spangle
Sunflower Preserves,Deluxe Preserves Jar,4000,1,1,1 Sunflower Jam,1 Sunflower
Sweet Pea Preserves,Deluxe Preserves Jar,4000,1,1,1 Sweet Pea Jam,1 Sweet Pea
Tulip Preserves,Deluxe Preserves Jar,4000,1,1,1 Tulip Jam,1 Tulip
Basil Jelly,Deluxe Preserves Jar,4000,1,1,1 Basil,
Bay Leaf Jelly,Deluxe Preserves Jar,4000,1,1,1 Bay Leaf,
Cannabis Jelly,Deluxe Preserves Jar,4000,1,1,1 Indica Bud,
Cannabis Jelly,Deluxe Preserves Jar,4000,1,1,5 Mary Jane,
Cannabis Jelly,Deluxe Preserves Jar,4000,1,1,1 Sativa Bud,
Cannabis Jelly,Deluxe Preserves Jar,4000,1,1,5 The Devil's Lettuce,
Chervil Jelly,Deluxe Preserves Jar,4000,1,1,1 Chervil,
Chicory Jelly,Deluxe Preserves Jar,4000,1,1,1 Chicory Root,
Pickled Chicory Root,Deluxe Preserves Jar,4000,1,0.5,1 Chicory Root,
Cilantro Jelly,Deluxe Preserves Jar,4000,1,1,1 Cilantro,
Curry Leaf Jelly,Deluxe Preserves Jar,4000,1,1,1 Curry Leaf,
Dill Jelly,Deluxe Preserves Jar,4000,1,1,1 Dill,
Fenugreek Jelly,Deluxe Preserves Jar,4000,1,1,1 Fenugreek,
Gentian Jelly,Deluxe Preserves Jar,4000,1,1,1 Gentian Bark,
Lemongrass Jelly,Deluxe Preserves Jar,4000,1,1,1 Lemongrass,
Marjoram Jelly,Deluxe Preserves Jar,4000,1,1,1 Marjoram,
Oregano Jelly,Deluxe Preserves Jar,4000,1,1,1 Oregano,
Parsley Jelly,Deluxe Preserves Jar,4000,1,1,1 Parsley,
Peppermint Jelly,Deluxe Preserves Jar,4000,1,1,1 Peppermint,
Rosemary Jelly,Deluxe Preserves Jar,4000,1,1,1 Rosemary,
Sage Jelly,Deluxe Preserves Jar,4000,1,1,1 Sage,
Sarsaparilla Jelly,Deluxe Preserves Jar,4000,1,1,1 Sarsaparilla,
Sassafras Jelly,Deluxe Preserves Jar,4000,1,1,1 Sassafras Root,
Savory Jelly,Deluxe Preserves Jar,4000,1,1,1 Savory,
Shiso Jelly,Deluxe Preserves Jar,4000,1,1,1 Shiso Leaf,
Mint Jelly,Deluxe Preserves Jar,4000,1,1,1 Spearmint,
Tarragon Jelly,Deluxe Preserves Jar,4000,1,1,1 Tarragon,
Thyme Jelly,Deluxe Preserves Jar,4000,1,1,1 Thyme,
Wintergreen Jelly,Deluxe Preserves Jar,4000,1,1,1 Wintergreen,
Woodruff Jelly,Deluxe Preserves Jar,4000,1,1,1 Woodruff,
Wormwood Jelly,Deluxe Preserves Jar,4000,1,1,1 Wormwood,
Yarrow Leaf Jelly,Deluxe Preserves Jar,4000,1,1,1 Yarrow Leaf,
Green Tea Jelly,Deluxe Preserves Jar,4000,1,1,1 Tea Leaves,
Annatto Jelly,Deluxe Preserves Jar,4000,1,1,1 Annatto,
Black Pepper Jelly,Deluxe Preserves Jar,4000,1,1,1 Black Peppercorns,
Cardamom Jelly,Deluxe Preserves Jar,4000,1,1,1 Green Cardamom Pod,
Cardamom Jelly,Deluxe Preserves Jar,4000,1,1,1 White Cardamom Pod,
Cayenne Pepper Jelly,Deluxe Preserves Jar,4000,1,1,1 Cayenne Pepper,
Pickled Cayenne Peppers,Deluxe Preserves Jar,4000,1,0.5,1 Cayenne Pepper,
Chipotle Jelly,Deluxe Preserves Jar,4000,1,1,1 Chipotle Pepper,
Pickled Chipotle Peppers,Deluxe Preserves Jar,4000,1,0.5,1 Chipotle Pepper,
Cinnamon Jelly,Deluxe Preserves Jar,4000,1,1,1 Cinnamon Bark,
Cinnamon Jelly,Deluxe Preserves Jar,4000,1,1,1 Cinnamon Sticks,
Clove Jelly,Deluxe Preserves Jar,4000,1,1,1 Clove,
Jalapeño Jelly,Deluxe Preserves Jar,4000,1,1,1 Jalapeño Pepper,
Pickled Jalapeño Peppers,Deluxe Preserves Jar,4000,1,0.5,1 Jalapeño Pepper,
Mace Jelly,Deluxe Preserves Jar,4000,1,1,1 Mace,
Nutmeg Jelly,Deluxe Preserves Jar,4000,1,1,1 Nutmeg ,
Paprika Pepper Jelly,Deluxe Preserves Jar,4000,1,1,1 Paprika Pepper,
Pickled Paprika Peppers,Deluxe Preserves Jar,4000,1,0.5,1 Paprika Pepper,
Red Pepper Jelly,Deluxe Preserves Jar,4000,1,1,1 Red Peppercorns,
Saffron Jelly,Deluxe Preserves Jar,4000,1,1,1 Saffron,
Scotch Bonnet Jelly,Deluxe Preserves Jar,4000,1,1,1 Scotch Bonnet Pepper,
Pickled Scotch Bonnet Peppers,Deluxe Preserves Jar,4000,1,0.5,1 Scotch Bonnet Pepper,
Anise Jelly,Deluxe Preserves Jar,4000,1,1,1 Star Anise,
Turmeric Jelly,Deluxe Preserves Jar,4000,1,1,1 Turmeric,
Pickled Turmeric,Deluxe Preserves Jar,4000,1,0.5,1 Turmeric,
White Pepper Jelly,Deluxe Preserves Jar,4000,1,1,1 White Peppercorns,
Ginger Jelly,Deluxe Preserves Jar,4000,1,1,1 Ginger,
Pickled Ginger,Deluxe Preserves Jar,4000,1,0.5,1 Ginger,
Hot Pepper Jelly,Deluxe Preserves Jar,4000,1,1,1 Hot Pepper,
Pickled Hot Peppers,Deluxe Preserves Jar,4000,1,0.5,1 Hot Pepper,
Spice Berry Jelly,Deluxe Preserves Jar,4000,1,1,1 Spice Berry,
Pickled Spice Berries,Deluxe Preserves Jar,4000,1,0.5,1 Spice Berry,
Dark Chocolate Jelly,Deluxe Preserves Jar,4000,1,1,1 Dark Cocoa Beans,1 Sugar
Butterscotch Jelly,Deluxe Preserves Jar,4000,1,1,1 Butterscotch,1 Sugar
Caramel Jelly,Deluxe Preserves Jar,4000,1,1,1 Caramel ,1 Sugar
Chocolate Jelly,Deluxe Preserves Jar,4000,1,1,1 Cocoa Beans,1 Sugar
Vanilla Jelly,Deluxe Preserves Jar,4000,1,1,1 Vanilla Bean,1 Sugar
White Chocolate Jelly,Deluxe Preserves Jar,4000,1,1,1 White Cocoa Beans,1 Sugar
Coffee Jelly,Deluxe Preserves Jar,4000,1,1,5 Coffee Bean,1 Sugar
Coffee Jelly,Deluxe Preserves Jar,4000,1,1,1 Coffee Beans,1 Sugar
Maple Jelly,Deluxe Preserves Jar,4000,1,1,1 Maple Syrup,1 Sugar
Pumpkin Jelly,Deluxe Preserves Jar,4000,1,1,1 Pumpkin,
Pickled Pumpkin,Deluxe Preserves Jar,4000,1,0.5,1 Pumpkin,
Taro Jelly,Deluxe Preserves Jar,4000,1,1,1 Taro Root,
Pickled Taro Root,Deluxe Preserves Jar,4000,1,0.5,1 Taro Root,
Allium Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Allium Honey,
Blue Lotus Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Blue Lotus Honey,
Brassica Flower Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Brassica Flower Honey,
Cactus Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Cactus Honey,
Caraway Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Caraway Honey,
Cannabis Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Cannabis Honey,
Chamomile Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Chamomile Honey,
Chicory Flower Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Chicory Flower Honey,
Clover Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Clover Honey,
Coriander Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Coriander Honey,
Daisy Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Daisy Honey,
Elderflower Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Elderflower Honey,
Fennel Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Fennel Honey,
Fire Wheel Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Fire Wheel Honey,
Flinders Rose Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Flinders Rose Honey,
Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Flow Honey,
Forsythia Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Forsythia Honey,
Gentian Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Gentian Honey,
Gultheria Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Gultheria Honey,
Hawkweed Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Hawkweed Honey,
Hibiscus Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Hibiscus Honey,
Royal Jelly,Deluxe Preserves Jar,4000,1,1,1 Honeycomb,
Honeysuckle Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Honeysuckle Honey,
Lavender Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Lavender Honey,
Lilac Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Lilac Honey,
Linden Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Linden Honey,
Mimosa Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Mimosa Flower Honey,
Mint Flower Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Mint Flower Honey,
Nettle Blossom Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Nettle Blossom Honey,
Nigella Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Nigella Honey,
Opuntia Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Opuntia Honey,
Osmanthus Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Osmanthus Honey,
Pine Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Pine Honey,
Rooibos Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Rooibos Honey,
Rose Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Rose Honey,
Rosemary Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Rosemary Honey,
Sakura Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Sakura Honey,
Squash Flower Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Squash Flower Honey,
Jasmine Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Jasmine Honey,
Topinambur Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Topinambur Honey,
Vanilla Orchid Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Vanilla Orchid Honey,
Violet Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Violet Honey,
Waldmeister Honey Jelly,Deluxe Preserves Jar,4000,1,1,1 Waldmeister Honey,
